Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage (GB)
SUCCESS,11/5/19 20:05,11/5/19 20:17,Product 4,96,9600
FAILURE,11/5/19 19:19,11/5/19 20:01,Product 4,96,9600
SUCCESS,11/4/19 21:59,11/4/19 22:32,Product 1 ,48,2400
SUCCESS,11/4/19 21:59,11/4/19 22:32,Product 1 ,48,2400
SUCCESS,11/1/19 0:27,11/1/19 0:39,Product 2,16,2400
FAILURE,11/1/19 0:24,11/1/19 0:28,Product 2,16,2400
FAILURE,10/31/19 23:03,10/31/19 23:07,Product 2,16,2400
SUCCESS,10/31/19 21:17,10/31/19 22:29,Product 3,6,40
FAILURE,10/31/19 20:28,10/31/19 20:43,Product 3,6,40
FAILURE,10/31/19 20:26,10/31/19 20:34,Product 3,6,40
SUCCESS,10/31/19 18:36,10/31/19 19:55,Product 3,6,40
SUCCESS,10/31/19 18:31,10/31/19 19:45,Product 3,6,40
SUCCESS,10/31/19 18:30,10/31/19 19:42,Product 3,6,40
FAILURE,10/31/19 17:59,10/31/19 18:02,Product 3,6,40
FAILURE,10/31/19 17:43,10/31/19 17:48,Product 3,6,40
FAILURE,10/31/19 7:37,10/31/19 7:41,Product 3,6,40
SUCCESS,10/31/19 2:13,10/31/19 2:22,Product 2,16,1440
FAILURE,10/31/19 2:07,10/31/19 2:14,Product 2,16,1440
FAILURE,10/30/19 23:18,10/30/19 23:23,Product 2,16,1440
FAILURE,10/30/19 17:33,10/30/19 18:56,Product 3,6,40
FAILURE,10/30/19 15:31,10/30/19 15:36,Product 3,6,40
FAILURE,10/29/19 22:55,10/29/19 23:00,Product 3,6,40
FAILURE,10/29/19 6:57,10/29/19 7:02,Product 3,6,40
FAILURE,10/29/19 5:37,10/29/19 5:42,Product 3,6,40
FAILURE,10/29/19 0:51,10/29/19 0:57,Product 3,6,40
SUCCESS,10/29/19 0:21,10/29/19 0:27,Product 2,16,960
SUCCESS,10/28/19 23:42,10/28/19 23:50,Product 2,16,960
FAILURE,10/27/19 21:29,10/27/19 21:33,Product 3,6,40
FAILURE,10/27/19 14:31,10/27/19 14:36,Product 3,6,40
FAILURE,10/27/19 12:01,10/27/19 12:06,Product 3,6,40
