Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage,Customer ID
SUCCESS,11/5/19 19:41,11/5/19 19:59,Product 3,6,250,26324
SUCCESS,11/5/19 18:57,11/5/19 19:15,Product 3,6,40,78836
SUCCESS,11/5/19 17:07,11/5/19 17:27,Product 3,14,40,78836
SUCCESS,10/31/19 23:34,10/31/19 23:59,Product 3,28,4000,28199
SUCCESS,10/31/19 20:35,10/31/19 21:00,Product 3,28,4000,85990
SUCCESS,10/29/19 17:58,10/29/19 18:03,Product 3,14,250,26324
FAILURE,10/29/19 17:26,10/29/19 17:53,Product 3,14,250,26324
SUCCESS,10/29/19 15:46,10/29/19 16:22,Product 3,14,200,26324
SUCCESS,10/29/19 15:18,10/29/19 15:46,Product 2,48,960,50154
SUCCESS,10/28/19 19:01,10/28/19 19:25,Product 1,192,38400,22719
SUCCESS,10/28/19 14:26,10/28/19 14:44,Product 3,6,200,26324
FAILURE,10/28/19 13:25,10/28/19 13:26,Product 2,48,960,50154
SUCCESS,10/25/19 16:51,10/25/19 16:59,Product 3,14,350,30177
CANCELLED,10/25/19 16:40,10/25/19 16:49,Product 3,14,350,30177
FAILURE,10/25/19 16:33,10/25/19 16:35,Product 3,14,350,30177
FAILURE,10/25/19 14:43,10/25/19 15:24,Product 3,14,350,30177
SUCCESS,10/24/19 16:11,10/24/19 16:25,Product 3,14,200,26324
SUCCESS,10/22/19 20:23,10/22/19 20:31,Product 3,14,200,68206
FAILURE,10/22/19 18:15,10/22/19 18:35,Product 3,14,200,68206
SUCCESS,10/21/19 18:41,10/21/19 18:50,Product 3,6,200,26324
SUCCESS,10/21/19 16:48,10/21/19 17:13,Product 1,192,36000,22719
SUCCESS,10/21/19 15:12,10/21/19 15:17,Product 3,6,100,68206
FAILURE,10/21/19 14:00,10/21/19 14:23,Product 3,6,100,68206
SUCCESS,10/18/19 9:38,10/18/19 9:49,Product 3,6,400,91349
CANCELLED,10/16/19 17:07,10/16/19 17:13,Product 1,576,81600,22719
CANCELLED,10/16/19 16:45,10/16/19 17:06,Product 1,576,81600,22719
FAILURE,10/16/19 16:00,10/16/19 16:44,Product 1,576,81600,22719
SUCCESS,10/16/19 8:30,10/16/19 8:54,Product 2,32,960,50154
SUCCESS,10/15/19 22:00,10/15/19 22:29,Product 2,16,1920,76923
SUCCESS,10/15/19 14:55,10/15/19 15:01,Product 3,6,60,40007
SUCCESS,10/15/19 12:36,10/15/19 12:50,Product 3,6,150,26324
SUCCESS,10/15/19 0:02,10/15/19 0:29,Product 2,32,1920,76923
FAILURE,10/14/19 20:51,10/14/19 21:09,Product 3,6,60,40007
FAILURE,10/14/19 11:31,10/14/19 11:33,Product 3,6,60,40007
SUCCESS,10/14/19 10:26,10/14/19 10:35,Product 3,6,60,88643
SUCCESS,10/14/19 9:40,10/14/19 9:49,Product 3,6,60,31540
FAILURE,10/14/19 9:38,10/14/19 10:05,Product 3,6,60,88643
FAILURE,10/14/19 8:43,10/14/19 8:49,Product 3,6,60,31540
FAILURE,10/14/19 8:35,10/14/19 8:37,Product 3,6,60,40007
FAILURE,10/14/19 8:35,10/14/19 8:39,Product 3,6,60,40007
SUCCESS,10/14/19 8:35,10/14/19 8:45,Product 3,6,60,99988
SUCCESS,10/13/19 15:51,10/13/19 15:57,Product 1,48,12000,84180
FAILURE,10/13/19 13:49,10/13/19 14:02,Product 1,48,12000,84180
SUCCESS,10/11/19 13:40,10/11/19 13:45,Product 3,6,60,56907
FAILURE,10/11/19 13:07,10/11/19 13:33,Product 3,6,60,56907
FAILURE,10/11/19 6:50,10/11/19 7:03,Product 3,6,60,56907
SUCCESS,10/11/19 4:26,10/11/19 5:40,Product 1,192,33600,22719
CANCELLED,10/7/19 20:57,10/7/19 21:04,Product 1,48,9600,84180
CANCELLED,10/7/19 20:39,10/7/19 20:57,Product 1,48,9600,84180
FAILURE,10/7/19 20:25,10/7/19 20:38,Product 1,48,9600,84180
SUCCESS,10/7/19 20:24,10/7/19 20:35,Product 3,6,100,99988
FAILURE,10/7/19 20:15,10/7/19 20:18,Product 3,6,100,99988
SUCCESS,10/6/19 3:18,10/6/19 3:25,Product 1,288,2400,77983
FAILURE,10/6/19 2:44,10/6/19 3:07,Product 1,288,2400,77983
FAILURE,10/6/19 0:32,10/6/19 0:54,Product 1,288,2400,77983
CANCELLED,10/6/19 0:16,10/6/19 0:32,Product 1,288,2400,77983
FAILURE,10/6/19 0:01,10/6/19 0:13,Product 1,288,2400,77983
FAILURE,10/5/19 23:11,10/5/19 23:45,Product 1,288,2400,77983
FAILURE,10/5/19 11:31,10/5/19 11:44,Product 1,288,2400,77983
FAILURE,10/4/19 16:46,10/4/19 16:47,Product 1,288,2400,77983
SUCCESS,10/4/19 2:03,10/4/19 2:21,Product 1,144,12000,73613
CANCELLED,9/27/19 19:35,9/27/19 19:48,Product 1,576,72000,22719
CANCELLED,9/27/19 19:07,9/27/19 19:35,Product 1,576,72000,22719
SUCCESS,9/27/19 19:00,9/27/19 19:09,Product 1,192,4800,75841
CANCELLED,9/27/19 18:49,9/27/19 19:07,Product 1,576,72000,22719
FAILURE,9/27/19 18:23,9/27/19 18:50,Product 1,48,7200,84180
CANCELLED,9/27/19 17:58,9/27/19 18:21,Product 1,48,7200,84180
FAILURE,9/27/19 17:35,9/27/19 17:50,Product 1,48,7200,84180
FAILURE,9/27/19 17:30,9/27/19 18:03,Product 1,576,72000,22719
SUCCESS,9/26/19 22:13,9/26/19 22:34,Product 1,144,33600,22719
FAILURE,9/26/19 20:14,9/26/19 20:22,Product 1,144,33600,22719
FAILURE,9/26/19 18:21,9/26/19 19:43,Product 1,144,33600,22719
FAILURE,9/26/19 17:06,9/26/19 17:10,Product 1,144,33600,22719
SUCCESS,9/26/19 16:39,9/26/19 16:46,Product 1,192,4800,19441
FAILURE,9/26/19 15:46,9/26/19 16:16,Product 1,192,4800,19441
FAILURE,9/26/19 15:24,9/26/19 15:28,Product 1,192,4800,19441
CANCELLED,9/26/19 14:24,9/26/19 15:23,Product 1,192,4800,19441
SUCCESS,9/25/19 15:26,9/25/19 18:21,Product 3,6,300,7254
SUCCESS,9/25/19 13:58,9/25/19 14:03,Product 3,6,300,53892
FAILURE,9/25/19 13:01,9/25/19 13:19,Product 3,6,300,53892
FAILURE,9/25/19 9:35,9/25/19 9:54,Product 3,6,300,53892
FAILURE,9/25/19 7:30,9/25/19 7:52,Product 3,6,300,53892
SUCCESS,9/24/19 20:30,9/24/19 20:58,Product 1,168,4800,75841
FAILURE,9/24/19 20:04,9/24/19 20:17,Product 1,168,4800,75841
SUCCESS,9/24/19 13:23,9/24/19 13:38,Product 4,96,24000,18220
FAILURE,9/24/19 10:20,9/24/19 10:26,Product 4,96,24000,18220
FAILURE,9/24/19 8:10,9/24/19 9:17,Product 4,96,24000,18220
FAILURE,9/24/19 0:04,9/24/19 2:04,Product 4,96,24000,18220
SUCCESS,9/21/19 1:02,9/21/19 2:28,Product 4,48,2400,42143
SUCCESS,9/20/19 18:38,9/20/19 18:45,Product 4,144,24000,18220
SUCCESS,9/20/19 17:09,9/20/19 17:18,Product 4,576,2400,42143
FAILURE,9/20/19 16:25,9/20/19 16:36,Product 4,576,2400,42143
FAILURE,9/20/19 15:53,9/20/19 16:05,Product 4,576,2400,42143
FAILURE,9/20/19 14:26,9/20/19 14:34,Product 4,144,24000,18220
FAILURE,9/20/19 14:06,9/20/19 14:46,Product 4,576,2400,42143
SUCCESS,9/19/19 19:40,9/19/19 20:39,Product 4,48,2400,42143
SUCCESS,9/19/19 17:56,9/19/19 18:21,Product 4,28,1920,95677
SUCCESS,9/19/19 17:50,9/19/19 18:24,Product 4,72,4800,92569
SUCCESS,9/19/19 13:10,9/19/19 13:55,Product 4,192,2400,42143
SUCCESS,9/17/19 16:52,9/17/19 16:58,Product 1,144,2400,77983
FAILURE,9/17/19 16:15,9/17/19 16:38,Product 1,144,2400,77983
CANCELLED,9/17/19 15:22,9/17/19 16:15,Product 1,144,2400,77983
CANCELLED,9/17/19 15:14,9/17/19 15:22,Product 1,144,2400,77983
FAILURE,9/17/19 14:31,9/17/19 14:43,Product 1,144,2400,77983
FAILURE,9/16/19 20:54,9/16/19 21:33,Product 1,144,2400,77983
SUCCESS,9/11/19 19:48,9/11/19 19:53,Product 1,48,4800,99694
FAILURE,9/11/19 19:41,9/11/19 19:44,Product 1,48,4800,99694
FAILURE,9/11/19 19:01,9/11/19 19:27,Product 1,48,4800,99694
FAILURE,9/11/19 17:49,9/11/19 18:11,Product 1,48,4800,99694
FAILURE,9/11/19 16:50,9/11/19 17:30,Product 1,48,4800,99694
SUCCESS,9/3/19 19:56,9/3/19 20:38,Product 1,144,31200,22719
CANCELLED,9/3/19 17:02,9/3/19 19:56,Product 1,144,31200,22719
CANCELLED,9/3/19 16:47,9/3/19 17:02,Product 1,144,31200,22719
FAILURE,9/3/19 16:40,9/3/19 16:41,Product 1,144,31200,22719
FAILURE,9/3/19 16:24,9/3/19 16:26,Product 1,144,31200,22719
FAILURE,9/3/19 15:56,9/3/19 16:23,Product 1,144,31200,22719
SUCCESS,8/23/19 19:13,8/23/19 19:27,Product 3,6,100,26324
SUCCESS,8/22/19 12:51,8/22/19 12:58,Product 2,16,1920,77983
FAILURE,8/22/19 8:44,8/22/19 9:06,Product 2,16,1920,77983
SUCCESS,8/21/19 14:27,8/21/19 15:01,Product 3,14,1000,1811
SUCCESS,8/18/19 18:26,8/18/19 19:12,Product 2,16,1920,76923
SUCCESS,8/16/19 12:22,8/16/19 12:57,Product 2,48,1920,76923
FAILURE,8/16/19 6:32,8/16/19 6:34,Product 2,48,1920,76923
FAILURE,8/16/19 6:02,8/16/19 6:04,Product 2,48,1920,76923
SUCCESS,8/15/19 15:53,8/15/19 16:18,Product 3,6,40,98990
SUCCESS,8/14/19 22:36,8/14/19 23:02,Product 3,28,40,98990
SUCCESS,8/13/19 18:41,8/13/19 19:14,Product 3,14,1000,88643
SUCCESS,8/13/19 17:16,8/13/19 17:58,Product 1,96,9600,19441
SUCCESS,8/9/19 14:23,8/9/19 14:36,Product 3,6,600,88643
FAILURE,8/8/19 23:49,8/8/19 23:51,Product 3,6,600,88643
FAILURE,8/8/19 21:10,8/8/19 21:12,Product 3,6,600,88643
SUCCESS,8/8/19 0:04,8/8/19 0:16,Product 3,6,450,88643
SUCCESS,8/5/19 20:32,8/5/19 20:39,Product 2,16,1440,99811
FAILURE,8/5/19 9:27,8/5/19 9:53,Product 2,16,1440,99811
FAILURE,8/5/19 9:26,8/5/19 9:51,Product 2,16,1440,77983
FAILURE,8/5/19 5:57,8/5/19 6:18,Product 2,16,1440,77983
FAILURE,8/5/19 5:56,8/5/19 6:18,Product 2,16,1440,99811
SUCCESS,8/4/19 16:07,8/4/19 16:21,Product 3,6,500,99438
SUCCESS,7/29/19 17:57,7/29/19 18:23,Product 1,144,28800,22719
FAILURE,7/29/19 15:59,7/29/19 16:15,Product 1,144,28800,22719
FAILURE,7/29/19 15:29,7/29/19 15:44,Product 1,144,28800,22719
FAILURE,7/29/19 14:38,7/29/19 15:10,Product 1,144,28800,22719
SUCCESS,7/26/19 18:37,7/27/19 23:22,Product 2,64,960,98091
SUCCESS,7/26/19 18:01,7/26/19 18:31,Product 2,48,960,98091
SUCCESS,7/19/19 17:37,7/19/19 17:45,Product 3,6,450,22814
SUCCESS,7/19/19 17:14,7/19/19 17:22,Product 4,192,16800,45823
SUCCESS,7/19/19 16:29,7/19/19 16:35,smp_flex,14,300,68206
FAILURE,7/19/19 16:02,7/19/19 16:17,smp_flex,14,300,68206
FAILURE,7/19/19 15:45,7/19/19 15:56,smp_flex,14,300,68206
CANCELLED,7/19/19 15:04,7/19/19 15:22,Product 3,14,2000,68206
FAILURE,7/17/19 18:01,7/17/19 18:42,Product 3,14,40,61301
FAILURE,7/17/19 17:56,7/17/19 18:00,Product 3,14,40,61301
SUCCESS,7/16/19 20:27,7/16/19 20:59,Product 2,48,4800,98899
FAILURE,7/16/19 20:15,7/16/19 20:16,Product 2,48,4800,98899
FAILURE,7/16/19 18:03,7/16/19 18:04,Product 2,48,4800,98899
SUCCESS,7/15/19 19:48,7/15/19 20:12,Product 3,6,40,61301
SUCCESS,7/12/19 17:41,7/12/19 18:25,Product 1,48,2400,65501
SUCCESS,7/12/19 15:44,7/12/19 16:28,Product 4,168,7200,57971
FAILURE,7/11/19 14:16,7/11/19 14:21,Product 1,576,2400,65501
FAILURE,7/11/19 7:29,7/11/19 8:03,Product 1,576,2400,65501
SUCCESS,7/10/19 2:50,7/10/19 2:57,Product 1,288,2400,65501
FAILURE,7/10/19 2:30,7/10/19 2:42,Product 1,288,2400,65501
FAILURE,7/10/19 0:07,7/10/19 2:22,Product 1,288,2400,65501
FAILURE,7/9/19 20:20,7/9/19 20:23,Product 1,288,2400,65501
FAILURE,7/9/19 20:04,7/9/19 20:07,Product 1,288,2400,65501
FAILURE,7/9/19 19:58,7/9/19 20:01,Product 1,288,2400,65501
FAILURE,7/9/19 19:05,7/9/19 19:39,Product 1,288,2400,65501
